date,time,item_name,category,quantity,price,total,payment_method,staff_name
2024-01-01,15:45,Mocha,Coffee,1,5.5,5.5,Cash,Sarah Johnson
2024-01-01,10:35,Hot Chocolate,Beverages,1,4.0,4.0,Mobile Pay,John Smith
2024-01-01,10:35,Mocha,Coffee,1,5.5,5.5,Mobile Pay,John Smith
2024-01-01,09:37,Hot Chocolate,Beverages,1,4.0,4.0,Mobile Pay,Sarah Johnson
2024-01-01,09:37,Cake Slice,Food,1,4.75,4.75,Card,Alex Brown
2024-01-01,06:58,Latte,Coffee,1,5.0,5.0,Cash,Mike Davis
2024-01-01,07:25,Sandwich,Food,1,7.5,7.5,Mobile Pay,Alex Brown
2024-01-01,07:25,Cappuccino,Coffee,1,4.5,4.5,Card,Alex Brown
2024-01-01,08:51,Salad,Food,1,8.5,8.5,Card,Sarah Johnson
2024-01-01,11:53,Croissant,Food,1,3.25,3.25,Mobile Pay,Sarah Johnson
2024-01-01,11:53,Mocha,Coffee,1,5.5,5.5,Cash,Emma Wilson
2024-01-01,11:42,Salad,Food,1,8.5,8.5,Cash,Alex Brown
2024-01-01,12:58,Bagel,Food,1,4.25,4.25,Mobile Pay,Sarah Johnson
2024-01-01,12:58,Cake Slice,Food,1,4.75,4.75,Cash,John Smith
2024-01-01,12:58,Latte,Coffee,1,5.0,5.0,Cash,John Smith
2024-01-01,15:29,Fresh Juice,Beverages,1,4.25,4.25,Card,John Smith
2024-01-01,06:18,Latte,Coffee,1,5.0,5.0,Cash,Emma Wilson
2024-01-01,06:18,Bagel,Food,1,4.25,4.25,Card,Emma Wilson
2024-01-01,12:54,Hot Chocolate,Beverages,1,4.0,4.0,Cash,Emma Wilson
2024-01-01,12:54,Mocha,Coffee,1,5.5,5.5,Card,Alex Brown
2024-01-01,12:54,Tea,Beverages,1,2.75,2.75,Mobile Pay,Mike Davis
2024-01-01,17:30,Latte,Coffee,1,5.0,5.0,Cash,Sarah Johnson
2024-01-01,07:54,Salad,Food,2,8.5,17.0,Card,Emma Wilson
2024-01-01,13:13,Bagel,Food,1,4.25,4.25,Mobile Pay,Mike Davis
2024-01-01,18:04,Cake Slice,Food,1,4.75,4.75,Cash,Alex Brown
2024-01-01,17:31,Sandwich,Food,1,7.5,7.5,Cash,Sarah Johnson
2024-01-01,00:48,Mocha,Coffee,1,5.5,5.5,Cash,Alex Brown
2024-01-01,00:48,Cappuccino,Coffee,1,4.5,4.5,Mobile Pay,John Smith
2024-01-01,10:42,Cappuccino,Coffee,1,4.5,4.5,Cash,Sarah Johnson
2024-01-01,22:17,Salad,Food,1,8.5,8.5,Card,John Smith
2024-01-01,09:44,Latte,Coffee,1,5.0,5.0,Card,Emma Wilson
2024-01-01,09:44,Hot Chocolate,Beverages,1,4.0,4.0,Mobile Pay,Mike Davis
2024-01-01,09:44,Mocha,Coffee,1,5.5,5.5,Mobile Pay,Emma Wilson
2024-01-01,14:42,Croissant,Food,1,3.25,3.25,Mobile Pay,Mike Davis
2024-01-01,18:11,Hot Chocolate,Beverages,1,4.0,4.0,Cash,Sarah Johnson
2024-01-01,16:27,Fresh Juice,Beverages,1,4.25,4.25,Mobile Pay,Alex Brown
2024-01-01,18:32,Mocha,Coffee,1,5.5,5.5,Mobile Pay,Mike Davis
2024-01-01,05:01,Hot Chocolate,Beverages,1,4.0,4.0,Mobile Pay,John Smith
2024-01-01,11:23,Mocha,Coffee,1,5.5,5.5,Mobile Pay,John Smith
2024-01-01,11:23,Cake Slice,Food,1,4.75,4.75,Cash,Emma Wilson
2024-01-01,11:23,Smoothie,Beverages,1,6.0,6.0,Mobile Pay,John Smith
2024-01-01,08:31,Bagel,Food,1,4.25,4.25,Mobile Pay,Sarah Johnson
2024-01-01,13:48,Salad,Food,1,8.5,8.5,Card,Mike Davis
2024-01-01,18:40,Hot Chocolate,Beverages,1,4.0,4.0,Cash,Alex Brown
2024-01-01,16:34,Latte,Coffee,1,5.0,5.0,Mobile Pay,Mike Davis
2024-01-01,16:59,Cappuccino,Coffee,1,4.5,4.5,Cash,Mike Davis
2024-01-01,10:52,Hot Chocolate,Beverages,1,4.0,4.0,Card,Emma Wilson
2024-01-01,13:27,Mocha,Coffee,1,5.5,5.5,Card,Emma Wilson
2024-01-01,17:52,Mocha,Coffee,1,5.5,5.5,Cash,Emma Wilson
2024-01-01,17:52,Latte,Coffee,2,5.0,10.0,Mobile Pay,Alex Brown
2024-01-01,08:29,Hot Chocolate,Beverages,2,4.0,8.0,Card,Sarah Johnson
2024-01-01,08:29,Hot Chocolate,Beverages,2,4.0,8.0,Card,Mike Davis
2024-01-01,18:49,Bagel,Food,1,4.25,4.25,Mobile Pay,Emma Wilson
2024-01-01,16:05,Latte,Coffee,1,5.0,5.0,Cash,Emma Wilson
2024-01-01,16:05,Hot Chocolate,Beverages,2,4.0,8.0,Cash,Emma Wilson
2024-01-01,07:04,Cappuccino,Coffee,1,4.5,4.5,Cash,Sarah Johnson
2024-01-01,07:04,Cake Slice,Food,1,4.75,4.75,Card,Emma Wilson
2024-01-01,20:25,Salad,Food,2,8.5,17.0,Cash,Sarah Johnson
2024-01-01,20:25,Cappuccino,Coffee,1,4.5,4.5,Mobile Pay,Emma Wilson
2024-01-01,08:35,Cappuccino,Coffee,1,4.5,4.5,Mobile Pay,Mike Davis
2024-01-01,08:35,Latte,Coffee,1,5.0,5.0,Cash,John Smith
2024-01-01,12:42,Croissant,Food,1,3.25,3.25,Mobile Pay,Alex Brown
2024-01-01,14:42,Hot Chocolate,Beverages,1,4.0,4.0,Mobile Pay,Sarah Johnson
2024-01-01,17:53,Sandwich,Food,1,7.5,7.5,Cash,Mike Davis
2024-01-01,17:53,Cappuccino,Coffee,1,4.5,4.5,Card,Alex Brown
2024-01-01,17:53,Croissant,Food,1,3.25,3.25,Cash,Alex Brown
2024-01-01,15:49,Bagel,Food,1,4.25,4.25,Mobile Pay,Sarah Johnson
2024-01-01,17:38,Latte,Coffee,1,5.0,5.0,Cash,Sarah Johnson
2024-01-01,13:54,Tea,Beverages,1,2.75,2.75,Cash,John Smith
2024-01-01,09:39,Croissant,Food,1,3.25,3.25,Card,Emma Wilson
2024-01-01,17:41,Smoothie,Beverages,1,6.0,6.0,Card,Alex Brown
2024-01-01,13:52,Smoothie,Beverages,1,6.0,6.0,Cash,Alex Brown
2024-01-01,07:30,Mocha,Coffee,1,5.5,5.5,Mobile Pay,John Smith
2024-01-01,10:30,Mocha,Coffee,1,5.5,5.5,Card,Sarah Johnson
2024-01-01,07:44,Mocha,Coffee,2,5.5,11.0,Mobile Pay,Emma Wilson
2024-01-01,08:33,Salad,Food,1,8.5,8.5,Card,Mike Davis
2024-01-01,14:02,Fresh Juice,Beverages,1,4.25,4.25,Mobile Pay,John Smith
2024-01-01,07:27,Mocha,Coffee,2,5.5,11.0,Card,John Smith
2024-01-01,08:55,Hot Chocolate,Beverages,2,4.0,8.0,Cash,John Smith
2024-01-01,11:18,Cake Slice,Food,1,4.75,4.75,Mobile Pay,Alex Brown
2024-01-01,11:18,Mocha,Coffee,2,5.5,11.0,Card,Alex Brown
2024-01-01,15:24,Sandwich,Food,1,7.5,7.5,Mobile Pay,Sarah Johnson
2024-01-01,15:24,Hot Chocolate,Beverages,1,4.0,4.0,Card,Sarah Johnson
2024-01-01,11:21,Tea,Beverages,2,2.75,5.5,Cash,Emma Wilson
2024-01-01,12:52,Latte,Coffee,1,5.0,5.0,Cash,Emma Wilson
2024-01-01,12:52,Salad,Food,1,8.5,8.5,Cash,Sarah Johnson
2024-01-01,19:25,Cappuccino,Coffee,1,4.5,4.5,Cash,Sarah Johnson
2024-01-01,19:25,Croissant,Food,1,3.25,3.25,Cash,John Smith
2024-01-01,19:25,Hot Chocolate,Beverages,1,4.0,4.0,Card,Emma Wilson
2024-01-01,08:02,Hot Chocolate,Beverages,2,4.0,8.0,Mobile Pay,Sarah Johnson
2024-01-01,17:59,Hot Chocolate,Beverages,1,4.0,4.0,Mobile Pay,John Smith
2024-01-01,17:59,Latte,Coffee,2,5.0,10.0,Mobile Pay,John Smith
2024-01-01,13:04,Bagel,Food,1,4.25,4.25,Card,Emma Wilson
2024-01-01,17:55,Cake Slice,Food,1,4.75,4.75,Card,Emma Wilson
2024-01-01,13:10,Sandwich,Food,1,7.5,7.5,Cash,Emma Wilson
2024-01-01,04:21,Mocha,Coffee,1,5.5,5.5,Cash,Mike Davis
2024-01-01,04:21,Muffin,Food,1,3.75,3.75,Card,Mike Davis
2024-01-01,04:21,Hot Chocolate,Beverages,1,4.0,4.0,Cash,Mike Davis
2024-01-01,18:59,Mocha,Coffee,1,5.5,5.5,Mobile Pay,Sarah Johnson
2024-01-01,18:59,Tea,Beverages,2,2.75,5.5,Mobile Pay,Emma Wilson
2024-01-01,18:59,Cappuccino,Coffee,2,4.5,9.0,Mobile Pay,Sarah Johnson
2024-01-01,10:44,Salad,Food,1,8.5,8.5,Cash,John Smith
2024-01-01,12:45,Hot Chocolate,Beverages,1,4.0,4.0,Cash,John Smith
2024-01-01,07:02,Mocha,Coffee,1,5.5,5.5,Mobile Pay,Alex Brown
2024-01-01,07:02,Sandwich,Food,1,7.5,7.5,Cash,Emma Wilson
2024-01-01,07:02,Latte,Coffee,1,5.0,5.0,Mobile Pay,Sarah Johnson
2024-01-01,12:18,Cappuccino,Coffee,1,4.5,4.5,Cash,John Smith
2024-01-01,12:18,Mocha,Coffee,1,5.5,5.5,Mobile Pay,John Smith
2024-01-01,21:16,Hot Chocolate,Beverages,1,4.0,4.0,Cash,Alex Brown
2024-01-01,21:16,Muffin,Food,1,3.75,3.75,Card,John Smith
2024-01-01,07:05,Mocha,Coffee,1,5.5,5.5,Mobile Pay,Mike Davis
2024-01-01,19:01,Muffin,Food,1,3.75,3.75,Mobile Pay,Mike Davis
2024-01-01,19:01,Hot Chocolate,Beverages,1,4.0,4.0,Mobile Pay,Sarah Johnson
2024-01-01,08:10,Latte,Coffee,1,5.0,5.0,Card,Mike Davis
2024-01-01,08:10,Croissant,Food,1,3.25,3.25,Card,John Smith
2024-01-01,06:02,Hot Chocolate,Beverages,1,4.0,4.0,Card,John Smith
2024-01-01,00:06,Latte,Coffee,1,5.0,5.0,Cash,Mike Davis
2024-01-01,07:39,Mocha,Coffee,1,5.5,5.5,Card,Emma Wilson
2024-01-01,18:04,Tea,Beverages,1,2.75,2.75,Card,Sarah Johnson
2024-01-01,08:51,Mocha,Coffee,1,5.5,5.5,Cash,Alex Brown
2024-01-01,08:14,Latte,Coffee,1,5.0,5.0,Card,John Smith
2024-01-01,08:14,Sandwich,Food,1,7.5,7.5,Mobile Pay,Sarah Johnson
2024-01-01,07:38,Hot Chocolate,Beverages,1,4.0,4.0,Mobile Pay,Sarah Johnson
2024-01-01,07:38,Cappuccino,Coffee,1,4.5,4.5,Card,Emma Wilson
2024-01-01,07:38,Mocha,Coffee,1,5.5,5.5,Mobile Pay,John Smith
2024-01-01,16:45,Hot Chocolate,Beverages,2,4.0,8.0,Card,Emma Wilson
2024-01-01,11:18,Mocha,Coffee,1,5.5,5.5,Cash,Sarah Johnson
2024-01-01,11:18,Bagel,Food,1,4.25,4.25,Card,Mike Davis
2024-01-01,18:32,Cappuccino,Coffee,1,4.5,4.5,Cash,Alex Brown
2024-01-01,18:32,Sandwich,Food,2,7.5,15.0,Mobile Pay,Alex Brown
2024-01-01,10:31,Hot Chocolate,Beverages,1,4.0,4.0,Cash,Sarah Johnson
2024-01-01,17:41,Cake Slice,Food,1,4.75,4.75,Mobile Pay,Mike Davis
2024-01-01,07:22,Mocha,Coffee,1,5.5,5.5,Card,Sarah Johnson
2024-01-01,07:44,Mocha,Coffee,1,5.5,5.5,Cash,Sarah Johnson
2024-01-01,07:44,Cappuccino,Coffee,1,4.5,4.5,Mobile Pay,Emma Wilson
2024-01-01,09:22,Salad,Food,1,8.5,8.5,Mobile Pay,John Smith
2024-01-01,08:54,Cappuccino,Coffee,1,4.5,4.5,Cash,Alex Brown
2024-01-01,08:54,Latte,Coffee,2,5.0,10.0,Card,John Smith
2024-01-01,19:05,Mocha,Coffee,1,5.5,5.5,Cash,John Smith
2024-01-01,10:19,Hot Chocolate,Beverages,1,4.0,4.0,Mobile Pay,John Smith
2024-01-01,10:19,Latte,Coffee,2,5.0,10.0,Cash,John Smith
2024-01-01,11:58,Cappuccino,Coffee,1,4.5,4.5,Cash,John Smith
2024-01-01,19:41,Muffin,Food,1,3.75,3.75,Card,Emma Wilson
2024-01-01,12:57,Mocha,Coffee,2,5.5,11.0,Cash,Mike Davis
2024-01-01,19:04,Mocha,Coffee,1,5.5,5.5,Cash,Emma Wilson
2024-01-02,11:28,Hot Chocolate,Beverages,1,4.0,4.0,Cash,Alex Brown
2024-01-02,11:28,Bagel,Food,1,4.25,4.25,Card,Mike Davis
2024-01-02,07:31,Cappuccino,Coffee,1,4.5,4.5,Mobile Pay,Mike Davis
2024-01-02,11:39,Muffin,Food,1,3.75,3.75,Card,Sarah Johnson
2024-01-02,14:55,Hot Chocolate,Beverages,1,4.0,4.0,Card,Mike Davis
2024-01-02,14:55,Hot Chocolate,Beverages,1,4.0,4.0,Cash,John Smith
2024-01-02,17:09,Bagel,Food,1,4.25,4.25,Cash,Sarah Johnson
2024-01-02,17:00,Mocha,Coffee,2,5.5,11.0,Card,Emma Wilson
2024-01-02,02:51,Sandwich,Food,1,7.5,7.5,Cash,Alex Brown
2024-01-02,02:51,Latte,Coffee,1,5.0,5.0,Cash,Sarah Johnson
2024-01-02,02:51,Cappuccino,Coffee,2,4.5,9.0,Card,Sarah Johnson
2024-01-02,12:12,Croissant,Food,1,3.25,3.25,Mobile Pay,Emma Wilson
2024-01-02,09:34,Sandwich,Food,1,7.5,7.5,Cash,Alex Brown
2024-01-02,02:49,Mocha,Coffee,2,5.5,11.0,Card,John Smith
2024-01-02,07:49,Hot Chocolate,Beverages,1,4.0,4.0,Cash,Mike Davis
2024-01-02,08:11,Latte,Coffee,1,5.0,5.0,Card,Mike Davis
2024-01-02,08:11,Mocha,Coffee,1,5.5,5.5,Mobile Pay,Mike Davis
2024-01-02,18:05,Cappuccino,Coffee,1,4.5,4.5,Card,John Smith
2024-01-02,18:05,Salad,Food,1,8.5,8.5,Cash,Alex Brown
2024-01-02,03:03,Mocha,Coffee,1,5.5,5.5,Card,Alex Brown
2024-01-02,03:03,Latte,Coffee,1,5.0,5.0,Card,Sarah Johnson
2024-01-02,14:42,Cake Slice,Food,1,4.75,4.75,Card,Emma Wilson
2024-01-02,17:06,Hot Chocolate,Beverages,1,4.0,4.0,Cash,Emma Wilson
2024-01-02,17:06,Cappuccino,Coffee,1,4.5,4.5,Card,Sarah Johnson
2024-01-02,12:48,Latte,Coffee,1,5.0,5.0,Card,Mike Davis
2024-01-02,15:58,Tea,Beverages,2,2.75,5.5,Mobile Pay,Emma Wilson
2024-01-02,15:58,Mocha,Coffee,1,5.5,5.5,Mobile Pay,Emma Wilson
2024-01-02,14:20,Hot Chocolate,Beverages,1,4.0,4.0,Cash,Sarah Johnson
2024-01-02,18:53,Tea,Beverages,1,2.75,2.75,Card,Alex Brown
2024-01-02,18:53,Latte,Coffee,1,5.0,5.0,Mobile Pay,Sarah Johnson
2024-01-02,12:55,Croissant,Food,1,3.25,3.25,Mobile Pay,John Smith
2024-01-02,07:50,Mocha,Coffee,1,5.5,5.5,Cash,John Smith
2024-01-02,07:50,Sandwich,Food,1,7.5,7.5,Mobile Pay,Sarah Johnson
2024-01-02,07:52,Hot Chocolate,Beverages,1,4.0,4.0,Mobile Pay,Sarah Johnson
2024-01-02,17:08,Muffin,Food,2,3.75,7.5,Card,Emma Wilson
2024-01-02,07:11,Sandwich,Food,1,7.5,7.5,Cash,Emma Wilson
2024-01-02,17:30,Latte,Coffee,1,5.0,5.0,Mobile Pay,Alex Brown
2024-01-02,15:03,Bagel,Food,1,4.25,4.25,Mobile Pay,Alex Brown
2024-01-02,15:03,Salad,Food,1,8.5,8.5,Mobile Pay,Emma Wilson
2024-01-02,10:33,Hot Chocolate,Beverages,1,4.0,4.0,Cash,Emma Wilson
2024-01-02,08:39,Cappuccino,Coffee,1,4.5,4.5,Cash,Alex Brown
2024-01-02,08:39,Mocha,Coffee,1,5.5,5.5,Card,John Smith
2024-01-02,06:31,Cappuccino,Coffee,2,4.5,9.0,Mobile Pay,Emma Wilson
2024-01-02,11:31,Cappuccino,Coffee,1,4.5,4.5,Cash,John Smith
2024-01-02,07:00,Mocha,Coffee,1,5.5,5.5,Mobile Pay,Alex Brown
2024-01-02,14:49,Salad,Food,1,8.5,8.5,Card,Alex Brown
2024-01-02,07:36,Cappuccino,Coffee,1,4.5,4.5,Cash,Alex Brown
2024-01-02,04:58,Latte,Coffee,2,5.0,10.0,Mobile Pay,John Smith
2024-01-02,04:58,Hot Chocolate,Beverages,1,4.0,4.0,Cash,John Smith
2024-01-02,07:45,Mocha,Coffee,1,5.5,5.5,Cash,John Smith
2024-01-02,02:54,Mocha,Coffee,1,5.5,5.5,Cash,John Smith
2024-01-02,12:58,Muffin,Food,1,3.75,3.75,Cash,Emma Wilson
2024-01-02,12:58,Cake Slice,Food,1,4.75,4.75,Card,Alex Brown
2024-01-02,12:58,Mocha,Coffee,1,5.5,5.5,Mobile Pay,Sarah Johnson
2024-01-02,17:29,Latte,Coffee,1,5.0,5.0,Mobile Pay,Mike Davis
2024-01-02,14:56,Bagel,Food,1,4.25,4.25,Cash,Sarah Johnson
2024-01-02,14:56,Mocha,Coffee,1,5.5,5.5,Mobile Pay,Alex Brown
2024-01-02,08:19,Mocha,Coffee,1,5.5,5.5,Cash,John Smith
2024-01-02,12:32,Sandwich,Food,1,7.5,7.5,Card,Sarah Johnson
2024-01-02,12:32,Hot Chocolate,Beverages,1,4.0,4.0,Cash,John Smith
2024-01-02,12:32,Croissant,Food,1,3.25,3.25,Mobile Pay,Alex Brown
2024-01-02,13:56,Croissant,Food,1,3.25,3.25,Card,Alex Brown
2024-01-02,12:48,Sandwich,Food,1,7.5,7.5,Mobile Pay,Mike Davis
2024-01-02,12:48,Latte,Coffee,1,5.0,5.0,Mobile Pay,John Smith
2024-01-02,12:48,Cappuccino,Coffee,1,4.5,4.5,Card,Sarah Johnson
2024-01-02,16:34,Latte,Coffee,1,5.0,5.0,Card,Sarah Johnson
2024-01-02,16:34,Tea,Beverages,2,2.75,5.5,Cash,Alex Brown
2024-01-02,14:32,Latte,Coffee,1,5.0,5.0,Cash,Mike Davis
2024-01-02,12:30,Cappuccino,Coffee,1,4.5,4.5,Card,Sarah Johnson
2024-01-02,12:30,Hot Chocolate,Beverages,2,4.0,8.0,Card,Mike Davis
2024-01-02,09:27,Cake Slice,Food,1,4.75,4.75,Mobile Pay,Emma Wilson
2024-01-02,15:26,Fresh Juice,Beverages,1,4.25,4.25,Card,Mike Davis
2024-01-02,08:40,Cappuccino,Coffee,1,4.5,4.5,Cash,John Smith
2024-01-02,08:40,Hot Chocolate,Beverages,2,4.0,8.0,Card,John Smith
2024-01-02,08:40,Cappuccino,Coffee,2,4.5,9.0,Card,Mike Davis
2024-01-02,08:01,Latte,Coffee,1,5.0,5.0,Card,Sarah Johnson
2024-01-02,08:01,Cake Slice,Food,1,4.75,4.75,Card,John Smith
2024-01-02,08:01,Latte,Coffee,1,5.0,5.0,Mobile Pay,Alex Brown
2024-01-02,16:09,Latte,Coffee,1,5.0,5.0,Cash,Mike Davis
2024-01-02,13:43,Cake Slice,Food,1,4.75,4.75,Mobile Pay,Sarah Johnson
2024-01-02,13:43,Mocha,Coffee,1,5.5,5.5,Card,Sarah Johnson
2024-01-02,13:43,Hot Chocolate,Beverages,2,4.0,8.0,Cash,Emma Wilson
2024-01-02,07:50,Latte,Coffee,1,5.0,5.0,Mobile Pay,Alex Brown
2024-01-02,16:23,Cappuccino,Coffee,1,4.5,4.5,Cash,Emma Wilson
2024-01-02,12:43,Hot Chocolate,Beverages,1,4.0,4.0,Card,Alex Brown
2024-01-02,19:30,Salad,Food,1,8.5,8.5,Cash,Mike Davis
2024-01-02,14:11,Mocha,Coffee,1,5.5,5.5,Card,Emma Wilson
2024-01-02,06:36,Latte,Coffee,1,5.0,5.0,Card,Mike Davis
2024-01-02,00:04,Latte,Coffee,1,5.0,5.0,Mobile Pay,Sarah Johnson
2024-01-02,00:04,Fresh Juice,Beverages,1,4.25,4.25,Cash,John Smith
2024-01-02,12:01,Latte,Coffee,1,5.0,5.0,Card,Mike Davis
2024-01-02,12:01,Hot Chocolate,Beverages,1,4.0,4.0,Mobile Pay,Mike Davis
2024-01-02,12:31,Bagel,Food,1,4.25,4.25,Cash,Sarah Johnson
2024-01-02,11:05,Latte,Coffee,2,5.0,10.0,Mobile Pay,John Smith
2024-01-02,15:47,Latte,Coffee,1,5.0,5.0,Cash,Alex Brown
2024-01-02,15:47,Latte,Coffee,2,5.0,10.0,Mobile Pay,Sarah Johnson
2024-01-02,15:47,Bagel,Food,1,4.25,4.25,Mobile Pay,John Smith
2024-01-02,05:45,Bagel,Food,2,4.25,8.5,Cash,Mike Davis
2024-01-02,05:45,Hot Chocolate,Beverages,2,4.0,8.0,Mobile Pay,John Smith
2024-01-02,15:08,Cake Slice,Food,1,4.75,4.75,Mobile Pay,Sarah Johnson
2024-01-02,15:08,Tea,Beverages,1,2.75,2.75,Card,Mike Davis
2024-01-02,15:08,Sandwich,Food,1,7.5,7.5,Card,Mike Davis
2024-01-02,04:51,Latte,Coffee,1,5.0,5.0,Card,Mike Davis
2024-01-02,01:54,Mocha,Coffee,1,5.5,5.5,Mobile Pay,Mike Davis
2024-01-02,01:54,Sandwich,Food,1,7.5,7.5,Card,Mike Davis
2024-01-02,01:54,Latte,Coffee,2,5.0,10.0,Card,Alex Brown
2024-01-02,09:49,Salad,Food,1,8.5,8.5,Cash,Sarah Johnson
2024-01-02,18:29,Mocha,Coffee,1,5.5,5.5,Card,John Smith
2024-01-02,07:50,Mocha,Coffee,1,5.5,5.5,Card,Alex Brown
2024-01-02,07:50,Latte,Coffee,1,5.0,5.0,Cash,Emma Wilson
2024-01-02,17:26,Cake Slice,Food,1,4.75,4.75,Cash,John Smith
2024-01-02,17:34,Muffin,Food,1,3.75,3.75,Mobile Pay,John Smith
2024-01-02,07:15,Hot Chocolate,Beverages,1,4.0,4.0,Card,Alex Brown
2024-01-02,07:28,Hot Chocolate,Beverages,1,4.0,4.0,Mobile Pay,John Smith
2024-01-02,07:28,Salad,Food,1,8.5,8.5,Mobile Pay,Mike Davis
2024-01-02,06:52,Mocha,Coffee,1,5.5,5.5,Mobile Pay,Emma Wilson
2024-01-02,16:57,Bagel,Food,1,4.25,4.25,Mobile Pay,John Smith
2024-01-02,16:57,Tea,Beverages,1,2.75,2.75,Mobile Pay,Mike Davis
2024-01-02,16:57,Salad,Food,1,8.5,8.5,Cash,Emma Wilson
2024-01-02,13:49,Muffin,Food,1,3.75,3.75,Cash,Emma Wilson
2024-01-02,00:04,Hot Chocolate,Beverages,1,4.0,4.0,Mobile Pay,Emma Wilson
2024-01-02,19:35,Tea,Beverages,1,2.75,2.75,Cash,John Smith
2024-01-02,19:35,Fresh Juice,Beverages,1,4.25,4.25,Cash,Sarah Johnson
2024-01-02,07:12,Muffin,Food,1,3.75,3.75,Cash,John Smith
2024-01-02,06:29,Mocha,Coffee,1,5.5,5.5,Card,Emma Wilson
2024-01-02,06:29,Mocha,Coffee,1,5.5,5.5,Card,Mike Davis
2024-01-02,17:19,Mocha,Coffee,1,5.5,5.5,Mobile Pay,Mike Davis
2024-01-02,09:39,Hot Chocolate,Beverages,2,4.0,8.0,Mobile Pay,Emma Wilson
